aqm,qmult,min_delay,bandwidth,protocol,run,flow,goodput_mean,goodput_std,delay_mean,delay_std,retr_mean,retr_std,util_mean,util_std
fifo,0.2,10,100,cubic,1,0,45.418302647091004,27.476398046364565,22.083459523960155,0.8330178015160099,5.9095,33.48334177639907,94.63339804292929,3.5646469378461108
fifo,0.2,10,100,cubic,1,1,32.013923746208995,12.18418847244252,22.342404870525332,0.6882803171144041,4.544554455445544,29.839076645390758,94.63339804292929,3.5646469378461108
fifo,0.2,10,100,cubic,1,2,31.927386265883992,12.839197112615107,22.27224483432099,0.7629068351505321,5.326732673267327,37.078055210836254,94.63339804292929,3.5646469378461108
fifo,0.2,10,100,cubic,1,3,48.138608689007995,23.508432993527293,22.00026490026928,0.7997814141632714,3.03,18.810299671652597,94.63339804292929,3.5646469378461108
fifo,0.2,10,100,cubic,2,0,45.95957721263299,27.829573786995727,22.146054329255417,0.7756271527061076,4.91,30.448199097530022,94.55638257575758,3.7468817337465956
fifo,0.2,10,100,cubic,2,1,30.896832367597003,11.501295592095193,22.32882801969078,0.6358143475235325,5.405940594059406,35.9667007710804,94.55638257575758,3.7468817337465956
fifo,0.2,10,100,cubic,2,2,32.6742189701384,10.274666652242407,22.198452542422782,0.6784272458500942,1.5148514851485149,1.6468992767387969,94.55638257575758,3.7468817337465956
fifo,0.2,10,100,cubic,2,3,47.421802736245,24.85997971071977,21.96324929049864,0.7868711232658282,4.7,34.294476393598885,94.55638257575758,3.7468817337465956
fifo,0.2,10,100,cubic,3,0,47.958721649628,27.522272425677176,22.10589814914952,0.7733424962131182,5.46,33.17063932352395,94.53898910984849,3.6233735976062853
fifo,0.2,10,100,cubic,3,1,29.146189579839003,9.933362348359509,22.219994516991324,0.7485903353684961,4.346534653465347,25.33473332938966,94.53898910984849,3.6233735976062853
fifo,0.2,10,100,cubic,3,2,30.568420376410995,8.628206439284046,22.14404320675104,0.6811185715463044,1.7914851485148515,1.9445623600895978,94.53898910984849,3.6233735976062853
fifo,0.2,10,100,cubic,3,3,50.19981296509601,25.27671880320066,21.897373374980038,0.7811019944387753,1.4098,3.2382917244944585,94.53898910984849,3.6233735976062853
fifo,0.2,10,100,cubic,4,0,49.237629586397006,25.62105798131183,22.00602745593756,0.740638944818676,5.09,31.11532637388744,94.52526120580809,3.757237930365746
fifo,0.2,10,100,cubic,4,1,30.271443596227996,11.085875885693127,22.238500925231122,0.6110470116933622,5.752475247524752,38.553444966849334,94.52526120580809,3.757237930365746
fifo,0.2,10,100,cubic,4,2,34.366709363694,15.34467896583867,22.22700321175415,0.6956680163796691,1.6633663366336633,2.136713493769215,94.52526120580809,3.757237930365746
fifo,0.2,10,100,cubic,4,3,43.398571429025,25.922489849556534,22.046119987301598,0.776026829932588,1.7,3.1188575997106263,94.52526120580809,3.757237930365746
fifo,0.2,10,100,cubic,5,0,43.21990236964991,28.19581520658634,22.036962374440442,0.8615776390783121,5.57,31.320840514025978,94.50126341540405,3.753550556000537
