aqm,qmult,min_delay,bandwidth,protocol,run,delay_mean,efficiency_mean,efficiency_std,fairness_mean,fairness_std,retr_mean,retr_std,efficiency1_mean,efficiency1_std,efficiency2_mean,efficiency2_std,util_mean,util_std
fifo,1.0,100,100,aurora,5,409.6342916666667,96.23004308,0.38095024985695636,0.0021624459194127966,0.0002538413577045385,0.010528564453125,0.006540843276780032,0.4698415670471334,0.001886647878115581,0.46979034976732176,0.0018963080784793057,81.30767282196969,30.609704496089385
fifo,4.0,10,100,cubic,1,97.44529496577364,91.6575745313232,2.9488266046860656,0.27074538828006633,0.09081123839306424,0.025088970477764424,0.055313616277268066,0.18926641154584437,0.013049185505035045,0.1892121443733673,0.013014105986988388,95.12272411616165,2.452391742726138
fifo,4.0,10,100,cubic,2,94.75451840638767,91.76347576057162,2.4804961870307567,0.25769341912363536,0.13422676847760534,0.02464881310096154,0.04948214697002462,0.1955448783474798,0.013753779045013403,0.19549000320235763,0.013690053952676924,95.1313107638889,2.3637820202692006
fifo,4.0,10,100,cubic,3,96.09779734693167,91.81160738393761,2.8901702555791657,0.18795233389442143,0.06224406861370097,0.0286102294921875,0.06435203210224708,0.19169350848038022,0.012572824016382891,0.19163608305405685,0.012558928647473074,95.12860164141415,2.2988831197878117
fifo,4.0,10,100,cubic,4,96.52178085156598,91.95492081767439,2.940120216532658,0.3677119752340729,0.09146748985917885,0.043135422926682696,0.16569235557412829,0.19078774934090972,0.014233645323777343,0.19068521632865768,0.014144290232175524,95.13090119949497,2.3692449133115336
fifo,4.0,10,100,cubic,5,95.02908748005218,91.6583434297484,1.5669284996463482,0.4651353672957903,0.14688374752412947,0.051938570462740384,0.19111923222602853,0.19378498885577147,0.014452362089677267,0.19366503749479638,0.014439076752632308,95.15875000000001,1.9948333580727482
fifo,4.0,10,100,orca,1,47.047422960302725,95.50608252,0.6502170665462493,0.22792581111923824,0.012478930283351744,0.0,0.0,0.40484713228568164,0.0036122402087308972,0.40484713228568164,0.0036122402087308972,92.69619239267679,15.41451884907623
fifo,4.0,10,100,orca,2,38.04459360721059,95.70385644,1.0843061979671997,0.41918832863218086,0.00988805007878433,0.0,0.0,0.5034318898899005,0.011202439521646708,0.5034318898899005,0.011202439521646708,93.23162010732324,13.637211154786407
fifo,4.0,10,100,orca,3,49.048664096944215,101.036494125,15.435236503927271,0.06461918985982489,0.020698027371403912,2.72369384765625,11.001868700712246,0.4356277379104494,0.06827021514980512,0.42936125518300616,0.08345034648899333,93.22099905303033,13.630313307608496
fifo,4.0,10,100,orca,4,45.12693494134919,98.6263525,13.075055228199117,0.29817807655570117,0.12794924974499441,2.5106576772836537,8.74064584996248,0.4770630990960451,0.09229021969917968,0.4717314170171623,0.10920008881239392,93.22733349116166,13.608329223162736
fifo,4.0,10,100,orca,5,55.135606919820596,95.39449060000001,1.3274821722334604,0.1311749337523523,0.012103995176562398,0.0,0.0,0.3441450267544441,0.005257620894067107,0.3441450267544441,0.005257620894067107,93.23873974116164,13.60627563395484
fifo,4.0,10,100,aurora,1,103.837375,96.22983031999998,0.17993808945178852,0.002216869954549888,0.00024737159474589086,9.492645263671875,0.6116179203649742,0.18534465497492317,0.0004014659624262342,0.1670668962099835,0.0009995477704276968,67.27080492424241,43.12510219703399
fifo,4.0,10,100,aurora,2,103.80746875,96.22979432,0.15969509866245118,0.0022366476081737722,0.00030677828079208626,0.24444580078125,0.043185338434097005,0.1854009036591576,0.00037227777936064326,0.18492322217287827,0.0003929955578518628,66.91332228535356,43.264741920010714
fifo,4.0,10,100,aurora,3,20.168232291666666,2.28188324,1.1962724840111778,0.8727767138715311,0.2519353954494164,0.0,0.0,0.022770696633060788,0.012111967597276783,0.022770696633060788,0.012111967597276783,1.5219554924242424,1.2296463977114047
fifo,4.0,10,100,aurora,4,103.83086458333332,96.22892803999999,0.21248250694498086,0.0021532491793347574,0.00028854707253572195,9.3438720703125,0.36213694883346637,0.18536315221441282,0.0004928622082661066,0.16736539132745828,0.000624623754325517,67.50669270833333,43.00258579389224
fifo,4.0,10,100,aurora,5,20.156049999999997,2.20919384,0.9577484419969351,0.8856448301425958,0.2398982621481208,0.0,0.0,0.02202732158698617,0.009705216539719596,0.02202732158698617,0.009705216539719596,1.3859580176767674,0.8753177213471693
fifo,4.0,100,100,cubic,1,965.9634500001891,101.03655427039168,30.79254663580992,0.08349815920654396,0.11036495541187384,0.21875821627103365,0.5931999644446666,0.21174076860348756,0.07473120414504385,0.2112273234552814,0.07386394058693867,92.2638170770202,16.2537975932647
fifo,4.0,100,100,cubic,2,920.8260819882456,100.30690437942835,25.07689838359801,0.044282663905946304,0.05535315025685019,0.1659393310546875,0.6159537231200923,0.2150131562617725,0.053598553984585,0.21458026141027328,0.052778818005046094,92.22360637626265,16.35572294160992
fifo,4.0,100,100,cubic,3,947.5234711498468,98.54332166605644,29.205030979018524,0.057592239273503786,0.06362211196806843,0.20203223595252404,0.6737990656139674,0.2124532015154108,0.06845739539178584,0.21203010913940576,0.06742813769831278,80.59740056818183,27.47697485368477
fifo,4.0,100,100,cubic,4,962.4275490846485,97.56768886945247,26.9381280998179,0.07547864116069579,0.11880100871682393,0.2002716064453125,0.4995421445087799,0.20092645955873725,0.05621404446275593,0.20052840347128714,0.05570824949642425,82.72621448863636,24.317449780327852
fifo,4.0,100,100,cubic,5,938.8025709772031,99.76512687134287,24.17032730818302,0.03836840659901236,0.04393393016394851,0.16417870154747596,0.6060568206790894,0.2101640482424126,0.05351359763421732,0.20977005550085037,0.05282950411302855,92.31740688131315,16.17265403083359
fifo,4.0,100,100,orca,1,733.6539754622323,95.25234823999999,1.1341606603956174,0.41050743610302826,0.1845583024688133,0.0004401573768028846,0.0022443710533697207,0.26229427635088876,0.028169454844408262,0.26229269650850445,0.02816637133180798,91.66841303661619,18.048103734638733
fifo,4.0,100,100,orca,2,719.8004255140104,95.23186716000001,1.1123020368872638,0.4087391522998987,0.18126451789861964,0.0004401573768028846,0.0022443710533697207,0.26702945813648343,0.027671073920378726,0.2670278540621283,0.027668102083103083,91.6834643308081,18.011730933497848
fifo,4.0,100,100,orca,3,703.0740181482721,94.99289315999998,0.970983382045091,0.4491950531927424,0.20093867844543611,0.0004401573768028846,0.0022443710533697207,0.2729190418838469,0.028799238655965568,0.2729173739794191,0.028795747549087435,91.6524250315657,17.940048195385934
