protocol,bandwidth,delay,qmult,run,avg_thr,avg_goodput,avg_srtt,std_thr,std_goodput,std_srtt,avg_retr,std_retr,efficiency_thr,efficiency_gdp,efficiency_rtt,efficiency_q_avg,efficiency_q_std,jain_goodput_20,jain_goodput_total
cubic,100,41,0.02,1,78.17561599999999,75.04701590938501,82.68486275484834,5.5707277349698305,5.6042736652150555,0.40418944478276525,0.000234,0.000396038275662181,0.7817561599999999,0.7504701590938501,0.9917171930625454,0.7819796,0.05568638532866567,0.5882213385254731,1.145273324081998
cubic,100,41,0.02,2,88.905088,84.856017392985,82.74137403314917,3.2902306831838133,3.0751346265745516,0.3846745667004789,0.000282,0.0004974841970513128,0.8890508800000001,0.84856017392985,0.991039863166254,0.88931932,0.032843685540508226,0.9115526505762046,0.5948852498096211
cubic,100,41,0.02,3,88.042224,85.38999681050001,82.64571368765927,4.902312077169516,3.8694142594846497,0.30912616371473245,0.00037152,0.0007045834137611873,0.88042224,0.8538999681050001,0.9921869670083606,0.8807597200000001,0.049276737325538375,1.2981189534342656,1.1882342812906301
cubic,100,41,0.02,4,86.373744,83.539996535305,82.52164602487832,6.126306942076159,5.624824801016933,0.3080492714894749,0.00032399999999999996,0.0007738788154825221,0.86373744,0.83539996535305,0.9936786764442258,0.8640465199999999,0.06125459214663096,0.5656166015716725,0.778811053391004
cubic,100,41,0.02,5,88.182184,83.512728765585,82.62122772108845,5.156477904737528,6.516514314796794,0.23764710119404148,0.00024000000000000003,0.0005547118740011743,0.8818218400000001,0.83512728765585,0.992481015615193,0.8820514000000002,0.05161102483731453,3.0865385765843913,1.4747941520403471
cubic,100,41,0.04,1,89.47035199999999,86.51227807656,82.58576727680239,4.822045899785474,4.4214382624801765,0.49087647462812817,0.00011399999999999999,0.00028470483330154966,0.8947035199999999,0.8651227807655999,0.9929071643199842,0.89481228,0.04839609373242301,0.8354692485045959,0.6246364502070351
cubic,100,41,0.04,2,89.920708,87.21681456580502,82.72763990615118,6.0352448672928976,5.679557508134236,0.5644541197134166,0.00020400000000000003,0.00041587447498899046,0.89920708,0.8721681456580502,0.9912043918214439,0.8993446800000001,0.06042489670515834,2.2274042853166423,1.3796058765348513
cubic,100,41,0.04,3,90.35229600000001,88.819907294465,82.7092695179046,5.676233768182638,4.964923384614664,0.5186651864204048,0.000264,0.0007505114045909312,0.9035229600000001,0.88819907294465,0.9914245462202872,0.9037743999999999,0.056589757826510975,2.7244496117302153,1.3415200306423514
cubic,100,41,0.04,4,89.70272399999998,86.493407515545,82.56169723404255,5.147511632172538,4.005561632090179,0.5295689743843588,0.00016764,0.00027288135536394415,0.8970272399999998,0.8649340751554501,0.9931966365413942,0.8971868000000001,0.05221187559110526,0.6471096210489438,0.42819133086196803
cubic,100,41,0.04,5,88.659888,85.84950597831,82.66019435765485,5.971892621329567,4.473311512080409,0.5678645586169573,0.00022176000000000002,0.0005167848523118179,0.88659888,0.8584950597831,0.9920131526088808,0.88681112,0.0599741763442409,1.5771765583156918,1.5456441204547904
cubic,100,41,0.06,1,91.87763599999998,87.85570057089501,83.28620584530108,3.612284406775828,4.39555697133285,1.3614650848175727,0.000276,0.0009014514611681015,0.9187763599999998,0.8785570057089501,0.9845567962635958,0.9190393599999999,0.036278055311055456,0.7948590399644953,0.8684134571598104
cubic,100,41,0.06,2,91.99013599999999,88.132984994455,83.21330881240546,4.368637714396369,6.06901556752105,1.1051054424456594,0.000126,0.00040921490943667134,0.9199013599999999,0.88132984994455,0.9854192937437362,0.9200214800000002,0.04378694076059909,0.5680950349814807,1.0531462568413976
cubic,100,41,0.06,3,91.84672,89.92183568342,83.07791663938451,4.594314334676125,4.588159768448959,1.28880968104167,0.00028799999999999995,0.0009531863461707346,0.9184672,0.8992183568342,0.9870252326612449,0.91874156,0.04592238346022328,0.6925936049348824,0.8666639390414435
cubic,100,41,0.06,4,91.03476800000001,87.561967952395,82.91540082231785,5.067212678786921,4.325981330708787,0.8214317773276854,0.00039000000000000005,0.0010467694664010188,0.9103476800000001,0.8756196795239499,0.9889598215381061,0.9107186799999999,0.050362859719833,0.5766887203256578,1.5745013697903243
cubic,100,41,0.06,5,87.961032,85.055905940135,82.74216846424383,5.269035549637444,6.062551424910979,0.8709384326229557,0.00037200000000000004,0.0009391687253826346,0.8796103200000001,0.85055905940135,0.9910303479106357,0.8799649199999999,0.05265721700157688,1.247861499629542,0.882155095498953
cubic,100,41,0.08,1,92.76258800000001,89.70543991753499,83.72675759973625,4.42027995099334,4.227664004880082,2.04266450838524,0.000198,0.0004125351659651511,0.9276258800000001,0.8970543991753499,0.9793762752883471,0.9279812399999999,0.044825301026592476,1.9965896729815984,1.6986014989603533
cubic,100,41,0.08,2,90.25323999999999,88.82643266535999,83.24587397034598,4.947239010842309,4.11055011496854,1.6223204881222717,0.00010200000000000001,0.00035952600374440375,0.9025323999999999,0.8882643266535999,0.9850338051494325,0.9028013600000001,0.04963687379924854,0.6663191605987306,1.4803239517034275
cubic,100,41,0.08,3,92.475032,88.38534444077,83.36574778819929,4.872019561962284,5.220093611709616,1.88462469589516,0.000162,0.00034882660448996714,0.92475032,0.8838534444077,0.9836173989386009,0.9249045600000001,0.049813608062798505,0.6277750777186833,0.5222933851230246
